filename,label
sample126,happy
sample132,sad
sample293,angry
sample287,surprised
sample278,calm
sample250,angry
sample244,calm
sample091,neutral
sample085,angry
sample052,angry
sample046,surprised
sample047,disgust
sample053,angry
sample084,surprised
sample090,angry
sample245,happy
sample251,angry
sample279,sad
sample286,calm
sample292,angry
sample133,happy
sample127,calm
sample119,surprised
sample131,fearful
sample125,surprised
sample284,angry
sample290,surprised
sample247,neutral
sample253,disgust
sample086,happy
sample092,sad
sample079,happy
sample045,calm
sample051,surprised
sample050,angry
sample044,surprised
sample078,neutral
sample093,happy
sample087,calm
sample252,happy
sample246,calm
sample291,calm
sample285,angry
sample124,happy
sample130,angry
sample118,neutral
sample134,surprised
sample120,calm
sample108,angry
sample281,happy
sample295,angry
sample242,fearful
sample256,surprised
sample083,happy
sample097,disgust
sample040,sad
sample054,sad
sample068,happy
sample069,surprised
sample055,fearful
sample041,calm
sample096,calm
sample082,disgust
sample257,angry
sample243,fearful
sample294,fearful
sample280,angry
sample109,surprised
sample121,fearful
sample135,angry
sample123,calm
sample137,sad
sample309,calm
sample296,surprised
sample282,sad
sample255,surprised
sample241,happy
sample269,happy
sample094,neutral
sample080,sad
sample057,surprised
sample043,angry
sample042,disgust
sample056,angry
sample081,fearful
sample095,sad
sample268,happy
sample240,calm
sample254,sad
sample283,fearful
sample297,calm
sample308,happy
sample136,angry
sample122,sad
sample186,surprised
sample192,fearful
sample179,happy
sample145,neutral
sample151,fearful
sample233,sad
sample227,angry
sample019,neutral
sample031,surprised
sample025,sad
sample024,disgust
sample030,surprised
sample018,sad
sample226,surprised
sample232,sad
sample150,sad
sample144,sad
sample178,fearful
sample193,surprised
sample187,calm
sample191,angry
sample185,surprised
sample152,calm
sample146,happy
sample218,happy
sample224,surprised
sample230,angry
sample026,calm
sample032,sad
sample033,angry
sample027,calm
sample231,fearful
sample225,surprised
sample219,disgust
sample147,surprised
sample153,happy
sample184,disgust
sample190,sad
sample194,happy
sample180,angry
sample157,neutral
sample143,angry
sample221,calm
sample235,calm
sample209,disgust
sample023,angry
sample037,calm
sample036,surprised
sample022,calm
sample208,fearful
sample234,calm
sample220,fearful
sample142,sad
sample156,calm
sample181,calm
sample195,surprised
sample183,surprised
sample197,disgust
sample140,surprised
sample154,angry
sample168,surprised
sample236,sad
sample222,angry
sample034,disgust
sample020,surprised
sample008,fearful
sample009,angry
sample021,surprised
sample035,disgust
sample223,surprised
sample237,surprised
sample169,fearful
sample155,calm
sample141,calm
sample196,surprised
sample182,fearful
sample158,fearful
sample164,fearful
sample170,sad
sample212,fearful
sample206,sad
sample038,happy
sample010,calm
sample004,fearful
sample005,calm
sample011,surprised
sample039,fearful
sample207,happy
sample213,surprised
sample171,angry
sample165,surprised
sample159,angry
sample198,sad
sample173,sad
sample167,angry
sample239,happy
sample205,neutral
sample211,surprised
sample007,happy
sample013,sad
sample012,calm
sample006,calm
sample210,fearful
sample204,surprised
sample238,disgust
sample166,surprised
sample172,disgust
sample199,sad
sample189,calm
sample176,calm
sample162,sad
sample200,fearful
sample214,surprised
sample228,neutral
sample002,angry
sample016,fearful
sample017,angry
sample003,neutral
sample229,fearful
sample215,sad
sample201,angry
sample163,calm
sample177,calm
sample188,surprised
sample161,fearful
sample175,angry
sample149,happy
sample217,calm
sample203,sad
sample015,calm
sample001,sad
sample029,disgust
sample028,calm
sample000,fearful
sample014,calm
sample202,fearful
sample216,fearful
sample148,calm
sample174,neutral
sample160,fearful
sample107,calm
sample113,calm
sample305,sad
sample311,sad
sample259,sad
sample271,neutral
sample265,angry
sample098,happy
sample073,happy
sample067,surprised
sample066,happy
sample072,fearful
sample099,angry
sample264,calm
sample270,neutral
sample258,happy
sample310,neutral
sample304,sad
sample112,calm
sample106,happy
sample138,surprised
sample110,calm
sample104,surprised
sample312,disgust
sample306,calm
sample299,calm
sample266,surprised
sample272,angry
sample058,happy
sample064,surprised
sample070,sad
sample071,surprised
sample065,angry
sample059,angry
sample273,fearful
sample267,angry
sample298,surprised
sample307,surprised
sample313,fearful
sample105,sad
sample111,calm
sample139,fearful
sample115,surprised
sample101,sad
sample129,surprised
sample303,fearful
sample288,neutral
sample263,angry
sample277,sad
sample061,fearful
sample075,fearful
sample049,sad
sample048,angry
sample074,disgust
sample060,sad
sample276,angry
sample262,sad
sample289,surprised
sample302,calm
sample128,happy
sample100,calm
sample114,happy
sample102,fearful
sample116,calm
sample300,angry
sample314,angry
sample274,neutral
sample260,calm
sample248,neutral
sample089,happy
sample076,neutral
sample062,fearful
sample063,sad
sample077,calm
sample088,angry
sample249,calm
sample261,surprised
sample275,sad
sample301,calm
sample117,fearful
sample103,sad
