filename,label
sample126,disgust
sample132,angry
sample293,sad
sample287,surprised
sample278,disgust
sample250,happy
sample244,disgust
sample091,happy
sample085,sad
sample052,angry
sample046,fearful
sample047,angry
sample053,surprised
sample084,sad
sample090,happy
sample245,disgust
sample251,disgust
sample279,happy
sample286,sad
sample292,surprised
sample133,sad
sample127,sad
sample119,calm
sample131,surprised
sample125,angry
sample284,happy
sample290,calm
sample247,surprised
sample253,happy
sample086,happy
sample092,neutral
sample079,happy
sample045,happy
sample051,fearful
sample050,angry
sample044,happy
sample078,disgust
sample093,fearful
sample087,neutral
sample252,happy
sample246,neutral
sample291,disgust
sample285,angry
sample124,happy
sample130,fearful
sample118,calm
sample134,surprised
sample120,calm
sample108,fearful
sample281,sad
sample295,angry
sample242,fearful
sample256,sad
sample083,surprised
sample097,disgust
sample040,sad
sample054,angry
sample068,happy
sample069,fearful
sample055,angry
sample041,calm
sample096,neutral
sample082,disgust
sample257,angry
sample243,disgust
sample294,angry
sample280,angry
sample109,sad
sample121,angry
sample135,happy
sample123,neutral
sample137,happy
sample309,calm
sample296,disgust
sample282,angry
sample255,angry
sample241,calm
sample269,sad
sample094,calm
sample080,neutral
sample057,fearful
sample043,happy
sample042,disgust
sample056,angry
sample081,neutral
sample095,sad
sample268,surprised
sample240,neutral
sample254,sad
sample283,disgust
sample297,neutral
sample308,neutral
sample136,angry
sample122,sad
sample186,disgust
sample192,sad
sample179,angry
sample145,disgust
sample151,sad
sample233,disgust
sample227,fearful
sample019,sad
sample031,happy
sample025,surprised
sample024,fearful
sample030,neutral
sample018,sad
sample226,fearful
sample232,fearful
sample150,sad
sample144,calm
sample178,angry
sample193,surprised
sample187,surprised
sample191,fearful
sample185,calm
sample152,fearful
sample146,surprised
sample218,happy
sample224,fearful
sample230,disgust
sample026,sad
sample032,calm
sample033,fearful
sample027,disgust
sample231,happy
sample225,sad
sample219,angry
sample147,disgust
sample153,happy
sample184,disgust
sample190,fearful
sample194,sad
sample180,sad
sample157,happy
sample143,angry
sample221,sad
sample235,calm
sample209,angry
sample023,sad
sample037,fearful
sample036,fearful
sample022,surprised
sample208,angry
sample234,surprised
sample220,surprised
sample142,disgust
sample156,fearful
sample181,surprised
sample195,surprised
sample183,happy
sample197,sad
sample140,sad
sample154,angry
sample168,happy
sample236,surprised
sample222,neutral
sample034,disgust
sample020,fearful
sample008,calm
sample009,calm
sample021,fearful
sample035,happy
sample223,happy
sample237,surprised
sample169,surprised
sample155,happy
sample141,angry
sample196,happy
sample182,sad
sample158,calm
sample164,happy
sample170,neutral
sample212,happy
sample206,happy
sample038,angry
sample010,surprised
sample004,angry
sample005,calm
sample011,surprised
sample039,angry
sample207,sad
sample213,disgust
sample171,angry
sample165,sad
sample159,sad
sample198,neutral
sample173,happy
sample167,fearful
sample239,angry
sample205,surprised
sample211,calm
sample007,sad
sample013,sad
sample012,surprised
sample006,happy
sample210,surprised
sample204,calm
sample238,disgust
sample166,surprised
sample172,happy
sample199,fearful
sample189,disgust
sample176,sad
sample162,surprised
sample200,happy
sample214,neutral
sample228,happy
sample002,sad
sample016,fearful
sample017,disgust
sample003,sad
sample229,angry
sample215,neutral
sample201,angry
sample163,disgust
sample177,fearful
sample188,surprised
sample161,fearful
sample175,fearful
sample149,angry
sample217,neutral
sample203,surprised
sample015,sad
sample001,sad
sample029,happy
sample028,calm
sample000,angry
sample014,calm
sample202,calm
sample216,surprised
sample148,sad
sample174,calm
sample160,fearful
sample107,neutral
sample113,sad
sample305,calm
sample311,fearful
sample259,disgust
sample271,happy
sample265,fearful
sample098,sad
sample073,disgust
sample067,disgust
sample066,neutral
sample072,happy
sample099,surprised
sample264,sad
sample270,disgust
sample258,happy
sample310,neutral
sample304,surprised
sample112,disgust
sample106,sad
sample138,sad
sample110,angry
sample104,happy
sample312,disgust
sample306,sad
sample299,surprised
sample266,happy
sample272,fearful
sample058,fearful
sample064,sad
sample070,disgust
sample071,fearful
sample065,happy
sample059,happy
sample273,angry
sample267,disgust
sample298,happy
sample307,fearful
sample313,fearful
sample105,sad
sample111,calm
sample139,happy
sample115,happy
sample101,sad
sample129,surprised
sample303,surprised
sample288,sad
sample263,fearful
sample277,angry
sample061,surprised
sample075,disgust
sample049,disgust
sample048,disgust
sample074,disgust
sample060,neutral
sample276,angry
sample262,sad
sample289,sad
sample302,calm
sample128,fearful
sample100,calm
sample114,angry
sample102,fearful
sample116,happy
sample300,disgust
sample314,angry
sample274,sad
sample260,calm
sample248,calm
sample089,surprised
sample076,calm
sample062,happy
sample063,disgust
sample077,calm
sample088,fearful
sample249,happy
sample261,angry
sample275,surprised
sample301,sad
sample117,fearful
sample103,neutral
